temps (s)	x_vérin (mm)	a_barre (°)
0	-83.037513	33.232694
0.0008	-83.024154	33.226825
0.0016	-83.007455	33.220956
0.0024	-82.990757	33.216065
0.0032	-82.977398	33.210196
0.004	-82.960699	33.204327
0.0048	-82.94734	33.198457
0.0056	-82.927302	33.192588
0.0064	-82.913943	33.186719
0.0072	-82.900584	33.18085
0.008	-82.883886	33.174981
0.0088	-82.870527	33.168133
0.0096	-82.853828	33.162264
0.0104	-82.83713	33.156395
0.0112	-82.820431	33.150526
0.012	-82.807072	33.144657
0.0128	-82.790373	33.138788
0.0136	-82.773675	33.133897
0.0144	-82.756976	33.128027
0.0152	-82.740278	33.122158
0.016	-82.723579	33.117267
0.0168	-82.70688	33.111398
0.0176	-82.690182	33.105529
0.0184	-82.673483	33.09966
0.0192	-82.656785	33.092813
0.02	-82.643426	33.086943
0.0208	-82.630067	33.081074
0.0216	-82.613368	33.076183
0.0224	-82.59667	33.071292
0.0232	-82.583311	33.064445
0.024	-82.566612	33.059554
0.0248	-82.549914	33.054663
0.0256	-82.529875	33.047816
0.0264	-82.516516	33.041947
0.0272	-82.496478	33.037056
0.028	-82.47644	33.030208
0.0288	-82.463081	33.023361
0.0296	-82.446382	33.017492
0.0304	-82.433023	33.011623
0.0312	-82.416325	33.005753
0.032	-82.399626	32.999884
0.0328	-82.382928	32.994993
0.0336	-82.366229	32.990102
0.0344	-82.34953	32.984233
0.0352	-82.332832	32.979342
0.036	-82.316133	32.972495
0.0368	-82.299434	32.966626
0.0376	-82.282736	32.961735
0.0384	-82.266037	32.954887
0.0392	-82.249339	32.949996
0.04	-82.23264	32.945105
0.0408	-82.215941	32.939236
0.0416	-82.199243	32.934345
0.0424	-82.179205	32.928476
0.0432	-82.162506	32.922607
0.044	-82.145807	32.916738
0.0448	-82.129109	32.910869
0.0456	-82.11575	32.905
0.0464	-82.102391	32.89913
0.0472	-82.089032	32.893261
0.048	-82.072333	32.887392
0.0488	-82.055635	32.881523
0.0496	-82.035597	32.875654
0.0504	-82.022238	32.869785
0.0512	-82.008879	32.863915
0.052	-81.99552	32.859024
0.0528	-81.978821	32.852177
0.0536	-81.962123	32.847286
0.0544	-81.945424	32.842395
0.0552	-81.932065	32.835548
0.056	-81.915367	32.831635
0.0568	-81.898668	32.825766
0.0576	-81.881969	32.819897
0.0584	-81.865271	32.815984
0.0592	-81.848572	32.810115
0.06	-81.835213	32.804246
0.0608	-81.818515	32.798377
0.0616	-81.801816	32.793486
0.0624	-81.785117	32.787616
0.0632	-81.768419	32.780769
0.064	-81.75172	32.775878
0.0648	-81.735022	32.770009
0.0656	-81.718323	32.76414
0.0664	-81.701624	32.759249
0.0672	-81.684926	32.75338
0.068	-81.668227	32.747511
0.0688	-81.651529	32.74262
0.0696	-81.63483	32.73675
0.0704	-81.618131	32.730881
0.0712	-81.601433	32.724034
0.072	-81.581394	32.717187
0.0728	-81.564696	32.712296
0.0736	-81.544658	32.705448
0.0744	-81.527959	32.700557
0.0752	-81.51126	32.694688
0.076	-81.494562	32.688819
0.0768	-81.477863	32.683928
0.0776	-81.464504	32.678059
0.0784	-81.451145	32.67219
0.0792	-81.434447	32.666321
0.08	-81.414408	32.660451
0.0808	-81.39437	32.654582
0.0816	-81.377671	32.648713
0.0824	-81.360973	32.642844
0.0832	-81.344274	32.636975
0.084	-81.327576	32.631106
0.0848	-81.307537	32.626215
0.0856	-81.290839	32.620345
0.0864	-81.27414	32.613498
0.0872	-81.257442	32.607629
0.088	-81.240743	32.60176
0.0888	-81.224044	32.595891
0.0896	-81.207346	32.590021
0.0904	-81.193987	32.585131
0.0912	-81.180628	32.579261
0.092	-81.163929	32.573392
0.0928	-81.147231	32.566545
0.0936	-81.130532	32.560676
0.0944	-81.113834	32.554807
0.0952	-81.093795	32.548937
0.096	-81.073757	32.54209
0.0968	-81.053719	32.536221
0.0976	-81.03702	32.530352
0.0984	-81.016982	32.524483
0.0992	-80.996943	32.518613
0.1	-80.976905	32.512744
0.1008	-80.956867	32.506875
0.1016	-80.940168	32.500028
