temps;MGA;MDR
temps;Commande Moteur Gauche;Commande Moteur Droit
0069.794;3685;3685
0000.013;3685;3685
0000.035;3685;3685
0000.046;4344;7333
0000.050;4344;7333
0000.070;4344;7333
0000.080;4344;7333
0000.093;4344;7333
0000.103;4344;7333
0000.111;4344;7333
0000.119;4344;7333
0000.132;4344;7333
0000.140;4344;7333
0000.150;4344;7333
0000.160;4344;7333
0000.171;4344;7333
0000.179;4344;7333
0000.191;4344;7333
0000.199;4344;7333
0000.210;4344;7333
0000.220;4344;7333
0000.230;4344;7333
0000.240;4344;7333
0000.249;4344;7333
0000.259;4344;7333
0000.271;4344;7333
0000.279;4344;7333
0000.290;4344;7333
0000.300;4344;7333
0000.310;4344;7333
0000.320;4344;7333
0000.329;4344;7333
0000.339;4344;7333
0000.351;4344;7333
0000.359;4344;7333
0000.370;4344;7333
0000.380;4344;7333
0000.390;4344;7333
0000.398;4344;7333
0000.409;4344;7333
0000.419;4344;7333
0000.431;4344;7333
0000.440;4344;7333
0000.450;4344;7333
0000.460;4344;7333
0000.470;4344;7333
0000.480;4344;7333
0000.489;4344;7333
0000.499;4344;7333
0000.509;4344;7333
0000.524;4344;7333
0000.530;4344;7333
0000.540;4344;7333
0000.550;4344;7333
0000.558;4344;7333
0000.569;4344;7333
0000.579;4344;7333
0000.589;4344;7333
0000.599;4344;7333
0000.610;4344;7333
0000.638;4344;7333
0000.655;4344;7333
0000.669;4344;7333
0000.680;4344;7333
0000.698;4344;7297
0000.708;4344;7026
0000.719;4344;6669
0000.729;4344;6363
0000.739;4344;6156
0000.750;4344;5938
0000.760;4344;5681
0000.770;4344;5482
0000.780;4344;5311
0000.788;4344;5282
0000.801;4344;5186
0000.809;4344;5186
0000.819;4344;5207
0000.830;4344;5336
0000.840;4344;5214
0000.850;4344;5428
0000.866;4344;5336
0000.879;4344;5307
0000.891;4344;5293
0000.899;4344;5378
0000.910;4344;5414
0000.920;4344;5450
0000.936;4344;5421
0000.951;4344;5414
0000.959;4344;5578
0000.969;4344;5550
0000.979;4344;5464
0000.990;4344;5550
0001.000;4344;5428
0001.008;4344;5343
0001.020;4344;5229
0001.028;4344;5236
0001.039;4344;5143
0001.051;4344;5193
0001.061;4344;5089
0001.069;4344;5068
0001.078;4344;5047
0001.088;4344;5015
0001.098;4344;5079
0001.108;4344;4940
0001.118;4344;5136
0001.129;4344;5129
0001.139;4344;5204
0001.149;4344;5232
0001.158;4344;5200
0001.168;4344;5257
0001.178;4344;5375
0001.188;4344;5311
0001.198;4344;5403
0001.209;4344;5603
0001.227;4344;5582
