temps;MGA;MDR;GAS
temps;Commande Moteur Gauche;Commande Moteur Droit;Consigne Gaz
0000.023;03685;03685;0000
0000.122;04344;06088;0204
0000.222;04344;06284;0204
0000.322;04344;06466;0204
0000.421;04344;06659;0204
0000.521;04344;06840;0204
0000.620;04344;06708;0204
0000.720;04344;05100;0204
0000.822;05403;04344;0204
0000.921;04958;04344;0204
0001.021;04344;04975;0204
0001.121;04344;05268;0204
0001.220;04344;04847;0204
0001.320;04344;04483;0204
0001.419;04344;04644;0204
0001.519;04344;04840;0204
0001.618;04344;04640;0204
0001.718;04344;04747;0204
0001.818;04344;04629;0204
0001.918;04344;04662;0204
0002.020;04344;04658;0204
0002.119;04344;04690;0204
0002.219;04344;04676;0204
0002.318;04344;04712;0204
0002.418;04344;04651;0204
0002.518;04344;04701;0204
0002.617;04344;04676;0204
0002.717;04344;04576;0204
0002.816;04344;04769;0204
0002.918;04344;04537;0204
0003.018;04344;04612;0204
0003.117;04344;04637;0204
0003.217;04344;04658;0204
0003.316;04344;04701;0204
0003.416;04344;04701;0204
0003.516;04344;04647;0204
0003.615;04344;04583;0204
0003.715;04344;04679;0204
0003.817;04344;04758;0204
0003.916;04344;04662;0204
0004.016;04344;04694;0204
0004.115;04344;04751;0204
0004.215;04344;04601;0204
0004.315;04344;04826;0204
0004.414;04344;04722;0204
0004.514;04344;04676;0204
0004.613;04344;04719;0204
0004.715;04344;04651;0204
0004.815;04344;04758;0204
0004.914;04344;04669;0204
0005.014;04344;04654;0204
0005.113;04344;04644;0204
0005.213;04344;04758;0204
0005.313;04344;04704;0204
0005.412;04344;04654;0204
0005.512;04344;04701;0204
0005.614;04344;04615;0204
0005.713;04344;04487;0204
0005.813;04344;04733;0204
0005.913;04344;04612;0204
0006.013;04344;04679;0204
0006.112;04344;04736;0204
0006.212;04344;04665;0204
0006.413;04344;04683;0204
0006.513;04344;04640;0204
0006.613;04344;04647;0204
0006.712;04344;04719;0204
0006.812;04344;04601;0204
0006.912;04344;04687;0204
0007.011;04344;04690;0204
0007.111;04344;04697;0204
0007.210;04344;04605;0204
0007.310;04344;04587;0204
0007.412;04344;04715;0204
0007.511;04344;04754;0204
0007.611;04344;04562;0204
0007.711;04344;04719;0204
0007.810;04344;04654;0204
0007.910;04344;04530;0204
0008.009;04344;04747;0204
0008.109;04344;04576;0204
0008.208;04344;04679;0204
0008.310;04344;04751;0204
0008.410;04344;04708;0204
0008.509;04344;04615;0204
0008.609;04344;04729;0204
0008.709;04344;04922;0204
0008.808;04344;04687;0204
0008.908;04344;04651;0204
0009.007;04344;04687;0204
0009.107;04344;04687;0204
0009.209;04344;04651;0204
0009.308;04344;04697;0204
0009.408;04344;04540;0204
0009.508;04344;04633;0204
0009.607;04344;04687;0204
0009.707;04344;04683;0204
0009.806;04344;04690;0204
0009.906;04344;04672;0204
0010.005;04344;04704;0204
0010.107;04344;04605;0204
0010.207;04344;04683;0204
0010.307;04344;04708;0204
0010.406;04344;04658;0204
0010.506;04344;04704;0204
0010.605;04344;04697;0204
0010.705;04344;04547;0204
0010.804;04344;04747;0204
0010.904;04344;04672;0204
0011.006;04344;04576;0204
0011.106;04344;04747;0204
0011.205;04344;04654;0204
0011.305;04344;04672;0204
0011.405;04344;04662;0204
0011.504;04344;04694;0204
0011.604;04344;04629;0204
0011.703;04344;04836;0204
0011.803;04344;04644;0204
0011.903;04344;04640;0204
0012.002;04344;04690;0204
0012.102;04344;04640;0204
0012.202;04344;04712;0204
0012.304;04344;04712;0204
0012.403;04344;04612;0204
0012.503;04344;04712;0204
0012.602;04344;04658;0204
0012.702;04344;04669;0204
0012.809;04344;04704;0204
0012.909;04344;04608;0204
0013.011;04344;04580;0204
0013.110;04344;04751;0204
0013.210;04344;04658;0204
0013.310;04344;04715;0204
0013.410;04344;04715;0204
0013.510;04344;04726;0204
0013.609;04344;04719;0204
0013.709;04344;04633;0204
0013.903;04344;04640;0204
0014.095;04344;04683;0204
0014.296;04344;04647;0204
0014.396;04344;04651;0204
0014.495;04344;04701;0204
0014.595;04344;04687;0204
0014.694;04344;04687;0204
0014.794;04344;04726;0204
0014.894;04344;04647;0204
0014.993;04344;04776;0204
0015.195;04344;04672;0204
0015.294;04344;04744;0204
0015.394;04344;04612;0204
0015.493;04344;04726;0204
0015.593;04344;04687;0204
0015.693;04344;04572;0204
0015.792;04344;04790;0204
0015.892;04344;04694;0204
0016.091;04344;04629;0204
0016.191;04344;04687;0204
0016.393;04344;04687;0204
0016.492;04344;04687;0204
0016.592;04344;04722;0204
0016.691;04344;04629;0204
0016.791;04344;04633;0204
0016.890;04344;04697;0204
0016.990;04344;04708;0204
0017.090;04344;04687;0204
0017.192;04344;04687;0204
0017.291;04344;04612;0204
0017.391;04344;04676;0204
0017.490;04344;04690;0204
0017.590;04344;04633;0204
0017.689;04344;04726;0204
0017.789;04344;04672;0204
0017.889;04344;04687;0204
0017.988;04344;04687;0204
0018.088;04344;04672;0204
0018.290;04344;04590;0204
0018.389;04344;04744;0204
0018.489;04344;04583;0204
0018.588;04344;04679;0204
0018.688;04344;04612;0204
0018.787;04344;04690;0204
0018.887;04344;04672;0204
0018.987;04344;04669;0204
0019.188;04344;04690;0204
0019.288;04344;04726;0204
0019.387;04344;04654;0204
0019.487;04344;04708;0204
0019.586;04344;04726;0204
0019.895;04344;04622;0204
0019.997;04344;04644;0204
0020.097;04344;04701;0204
0020.196;04344;04687;0204
0020.296;04344;04658;0204
0020.395;04344;04744;0204
0020.495;04344;04687;0204
0020.597;04344;04687;0204
0020.696;04344;04665;0204
0020.796;04344;04605;0204
0020.896;04344;04662;0204
0020.995;04344;04654;0204
0021.095;04344;04690;0204
0021.194;04344;04569;0204
0021.294;04344;04676;0204
0021.393;04344;04701;0204
0021.495;04344;04708;0204
0021.595;04344;04622;0204
0021.694;04344;04790;0204
0021.794;04344;04612;0204
0021.894;04344;04669;0204
0021.993;04344;04662;0204
